date,portfolio,scope,nav_usd,daily_net_cf_usd,daily_return_twr,cumulative_twr,mtd_return,qtd_return,ytd_return,itd_return,irr_annualized
2025-09-03,FGI,equity_sub,2426678.26447081,0.0,-0.0031046837,0.3634316498,0.0085984924,0.0819170679,0.3634316498,0.3634316498,0.3165614429
2025-09-04,FGI,equity_sub,2407341.268707,0.0,-0.0079685041,0.3525671391,0.0005614711,0.0732958072,0.3525671391,0.3525671391,0.3165614429
2025-09-05,FGI,equity_sub,2778139.77906611,-338730.43402128,0.0133209515,0.3705846204,0.013889902,0.0875931287,0.3705846204,0.3705846204,0.3165614429
2025-09-06,FGI,equity_sub,2778139.77906611,0.0,0.0,0.3705846204,0.013889902,0.0875931287,0.3705846204,0.3705846204,0.3165614429
2025-09-07,FGI,equity_sub,2778139.77906611,0.0,0.0,0.3705846204,0.013889902,0.0875931287,0.3705846204,0.3705846204,0.3165614429
2025-09-08,FGI,equity_sub,2800986.99724313,0.0,0.0082239268,0.381856208,0.0222280583,0.0965374149,0.381856208,0.381856208,0.3165614429
2025-09-09,FGI,equity_sub,2802277.69203407,0.0,0.0004608,0.3824929673,0.022699101,0.0970426994,0.3824929673,0.3824929673,0.3165614429
2025-09-10,FGI,equity_sub,2828806.3556989,0.0,0.0094668218,0.3955807819,0.0323808112,0.1074282072,0.3955807819,0.3955807819,0.3165614429
2025-09-11,FGI,equity_sub,2824444.5846541,0.0,-0.0015419122,0.3934289189,0.0307889706,0.1057206501,0.3934289189,0.3934289189,0.3165614429
2025-09-12,FGI,equity_sub,2829314.12640576,0.0,0.0017240706,0.3958312887,0.0325661235,0.1076269905,0.3958312887,0.3958312887,0.3165614429
2025-09-13,FGI,equity_sub,2829314.12640576,0.0,0.0,0.3958312887,0.0325661235,0.1076269905,0.3958312887,0.3958312887,0.3165614429
2025-09-14,FGI,equity_sub,2829314.12640576,0.0,0.0,0.3958312887,0.0325661235,0.1076269905,0.3958312887,0.3958312887,0.3165614429
2025-09-15,FGI,equity_sub,2836796.76178169,0.0,0.0026446817,0.3995228182,0.0352969323,0.1105563114,0.3995228182,0.3995228182,0.3165614429
2025-09-16,FGI,equity_sub,2835141.83041432,0.0,-0.0005833803,0.3987063641,0.0346929605,0.1099084347,0.3987063641,0.3987063641,0.3165614429
2025-09-17,FGI,equity_sub,2845251.25365013,0.0,0.0035657557,0.4036938093,0.0383824228,0.1138660971,0.4036938093,0.4036938093,0.3165614429
2025-09-18,FGI,equity_sub,2811088.23365214,0.0,-0.012007031,0.3868396143,0.0259145329,0.1004918723,0.3868396143,0.3868396143,0.3165614429
2025-09-19,FGI,equity_sub,2802560.70582151,0.0,-0.0030335326,0.3826325911,0.0228023877,0.0971534943,0.3826325911,0.3826325911,0.3165614429
2025-09-20,FGI,equity_sub,2802560.70582151,0.0,0.0,0.3826325911,0.0228023877,0.0971534943,0.3826325911,0.3826325911,0.3165614429
2025-09-21,FGI,equity_sub,2802560.70582151,0.0,0.0,0.3826325911,0.0228023877,0.0971534943,0.3826325911,0.3826325911,0.3165614429
2025-09-22,FGI,equity_sub,2793761.81964822,0.0,-0.0031395881,0.3782916943,0.0195912095,0.0937088843,0.3782916943,0.3782916943,0.3165614429
2025-09-23,FGI,equity_sub,2788180.94436729,0.0,-0.0019976203,0.3755383908,0.0175544534,0.0915240692,0.3755383908,0.3755383908,0.3165614429
