symbol,isin,name,Portfolio,Asset class,Ticker / ISIN / Reference,Security name,Currency,Yahoo Ticker,entry_date,exit_date,total_realized_pnl
0293.HK,,CATHAY PACIFIC AIRWAYS,FGI,Equities,293 HK EQUITY,CATHAY PACIFIC AIRWAYS,HKD,0293.HK,2025-08-22,2025-11-25,59860.0
0939.HK,,CHINA CONSTRUCTION BANK-H,FGI,Equities,939 HK EQUITY,CHINA CONSTRUCTION BANK-H,HKD,0939.HK,2025-05-14,2025-11-25,138699.99952
1088.HK,,CHINA SHENHUA ENERGY CO-H,FGI,Equities,1088 HK EQUITY,CHINA SHENHUA ENERGY CO-H,HKD,1088.HK,2025-06-02,2025-11-25,145360.0
6823.HK,,HKT TRUST AND HKT LTD-SS,FGI,Equities,6823 HK EQUITY,HKT TRUST AND HKT LTD-SS,HKD,6823.HK,2025-05-14,2025-11-25,43490.0
0388.HK,,HONG KONG EXCHANGES & CLEAR,FGI,Equities,388 HK EQUITY,HONG KONG EXCHANGES & CLEAR,HKD,0388.HK,2025-01-01,2025-11-27,626402.5600096
0857.HK,,PETROCHINA CO LTD-H,FGI,Equities,857 HK EQUITY,PETROCHINA CO LTD-H,HKD,0857.HK,2025-01-01,2025-11-27,778039.99838
0883.HK,,CNOOC LTD-H,FGI,Equities,883 HK EQUITY,CNOOC LTD-H,HKD,0883.HK,2025-05-14,2025-11-27,131420.0
0941.HK,,CHINA MOBILE LTD-H,FGI,Equities,941 HK EQUITY,CHINA MOBILE LTD-H,HKD,0941.HK,2025-01-01,2025-11-27,706219.99975
1810.HK,,XIAOMI CORP-CLASS B,FGI,Equities,1810 HK EQUITY,XIAOMI CORP-CLASS B,HKD,1810.HK,2025-05-14,2025-11-27,-50960.0
2269.HK,,WUXI BIOLOGICS CAYMAN INC,FGI,Equities,2269 HK EQUITY,WUXI BIOLOGICS CAYMAN INC,HKD,2269.HK,2025-08-08,2025-11-27,30680.0
2388.HK,,BOC HONG KONG HOLDINGS LTD,FGI,Equities,2388 HK EQUITY,BOC HONG KONG HOLDINGS LTD,HKD,2388.HK,2025-05-14,2025-11-27,110599.99992
0017.HK,,NEW WORLD DEVELOPMENT,Sinowell,Equities,17 HK EQUITY,NEW WORLD DEVELOPMENT,HKD,0017.HK,2025-12-05,2026-01-16,131100.0
VZ,,VERIZON COMMUNICATIONS INC,Sinowell,Equities,VZ US EQUITY,VERIZON COMMUNICATIONS INC,USD,VZ,2025-10-28,2026-02-06,64757.0
0027.HK,,GALAXY ENTERTAINMENT GROUP L,FGI,Equities,27 HK EQUITY,GALAXY ENTERTAINMENT GROUP L,HKD,0027.HK,2025-08-29,2026-02-09,20610.0
0142.HK,,FIRST PACIFIC CO,FGI,Equities,142 HK EQUITY,FIRST PACIFIC CO,HKD,0142.HK,2025-05-14,2026-02-09,123659.99984
0728.HK,,CHINA TELECOM CORP LTD-H,FGI,Equities,728 HK EQUITY,CHINA TELECOM CORP LTD-H,HKD,0728.HK,2025-01-01,2026-02-09,200840.0
1398.HK,,IND & COMM BK OF CHINA-H,FGI,Equities,1398 HK EQUITY,IND & COMM BK OF CHINA-H,HKD,1398.HK,2025-05-21,2026-02-09,81619.99967
1929.HK,,CHOW TAI FOOK JEWELLERY GROU,FGI,Equities,1929 HK EQUITY,CHOW TAI FOOK JEWELLERY GROU,HKD,1929.HK,2025-08-29,2026-02-09,-14472.0
2822.HK,,CSOP FTSE CHINA A50 ETF-HKD,FGI,Equities,2822 HK EQUITY,CSOP FTSE CHINA A50 ETF-HKD,HKD,2822.HK,2025-09-05,2026-02-09,12624.0
3069.HK,,CHINAAMC HS BIOTECH HKD INC,FGI,Equities,3069 HK EQUITY,CHINAAMC HS BIOTECH HKD INC,HKD,3069.HK,2025-09-05,2026-02-09,-64462.0
3288.T,JP3173540000,OPEN HOUSE GROUP CO LTD,FGI,Equities,3288 JT EQUITY,OPEN HOUSE GROUP CO LTD,JPY,3288.T,2026-01-30,2026-02-20,4500852.0
0004.HK,,WHARF HOLDINGS LTD,FGI,Equities,4 HK EQUITY,WHARF HOLDINGS LTD,HKD,0004.HK,2025-11-25,2026-02-23,40960.0
1211.HK,,BYD CO LTD-H,Sinowell,Equities,1211 HK EQUITY,BYD CO LTD-H,HKD,1211.HK,2025-06-02,2026-02-23,-67724.99997
2846.HK,,ISHARES CORE CSI 300 ETF-HKD,FGI,Equities,2846 HK EQUITY,ISHARES CORE CSI 300 ETF-HKD,HKD,2846.HK,2025-09-05,2026-02-23,56619.0
2846.HK,,ISHARES CORE CSI 300 ETF-HKD,Sinowell,Equities,2846 HK EQUITY,ISHARES CORE CSI 300 ETF-HKD,HKD,2846.HK,2025-09-01,2026-02-23,62872.0
3069.HK,,CHINAAMC HS BIOTECH HKD INC,Sinowell,Equities,3069 HK EQUITY,CHINAAMC HS BIOTECH HKD INC,HKD,3069.HK,2025-09-01,2026-02-23,-34299.0
3690.HK,,MEITUAN-CLASS B,Sinowell,Equities,3690 HK EQUITY,MEITUAN-CLASS B,HKD,3690.HK,2025-11-10,2026-02-23,-59755.0
