date,portfolio,scope,position_count,total_market_value_usd,total_cost_basis_usd,total_unrealized_pnl_usd,total_realized_pnl_usd,total_pnl_usd,daily_return_pct
2025-04-22,FGI,equity_sub,7,1529533.49033049,1388259.7427126,141273.74761789,168627.35101636,309901.09863425,0.00372871
2025-04-23,FGI,equity_sub,7,1539416.52409097,1388438.71838327,150977.80570771,168649.0906032,319626.89631091,0.00646147
2025-04-24,FGI,equity_sub,7,1530840.54726961,1388259.7427126,142580.80455701,168627.35101636,311208.15557338,-0.00557093
2025-04-25,FGI,equity_sub,7,1533623.43069076,1388454.7698342,145168.66085656,168651.04032023,313819.70117678,0.00181788
2025-04-26,FGI,equity_sub,7,1533623.43069076,1388454.7698342,145168.66085656,168651.04032023,313819.70117678,0.0
2025-04-27,FGI,equity_sub,7,1533623.43069076,1388454.7698342,145168.66085656,168651.04032023,313819.70117678,0.0
2025-04-28,FGI,equity_sub,7,1540672.36527772,1388703.57001658,151968.79526113,168681.26126116,320650.0565223,0.00459626
2025-04-29,FGI,equity_sub,7,1542057.38273844,1388760.87523679,153296.50750164,168688.22193803,321984.72943968,0.00089897
2025-04-30,FGI,equity_sub,7,1546305.39851175,1388367.12833046,157938.27018131,168640.39479464,326578.66497593,0.00275477
2025-05-01,FGI,equity_sub,7,1547033.19649946,1389020.5896733,158012.60682615,168719.76859756,326732.37542371,0.00047067
2025-05-02,FGI,equity_sub,7,1562482.8803828,1388671.30661098,173811.5737718,168677.34233126,342488.91610307,0.00998665
2025-05-03,FGI,equity_sub,7,1562482.8803828,1388671.30661098,173811.5737718,168677.34233126,342488.91610307,0.0
2025-05-04,FGI,equity_sub,7,1562482.8803828,1388671.30661098,173811.5737718,168677.34233126,342488.91610307,0.0
2025-05-05,FGI,equity_sub,7,1563833.64100785,1389871.80777851,173961.83322936,168823.16326486,342784.99649422,0.0008645
2025-05-06,FGI,equity_sub,7,1581903.87378636,1389871.80777851,192032.06600784,168823.16326486,360855.22927272,0.01155509
2025-05-07,FGI,equity_sub,7,1591025.17072057,1389656.71553533,201368.45518525,168797.03671658,370165.49190182,0.00576602
2025-05-08,FGI,equity_sub,7,1592276.78151337,1388386.87244453,203889.90906884,168642.79304731,372532.70211615,0.00078667
2025-05-09,FGI,equity_sub,7,1599227.61388643,1385479.60146575,213748.01242069,168289.65639086,382037.66881156,0.00436534
2025-05-10,FGI,equity_sub,7,1599227.61388643,1385479.60146575,213748.01242069,168289.65639086,382037.66881156,0.0
2025-05-11,FGI,equity_sub,7,1599227.61388643,1385479.60146575,213748.01242069,168289.65639086,382037.66881156,0.0
2025-05-12,FGI,equity_sub,7,1637461.20483705,1385093.07830477,252368.12653228,168242.70669209,420610.83322437,0.02390754
2025-05-13,FGI,equity_sub,7,1612877.28283527,1382630.91973705,230246.36309821,167943.63637816,398189.99947638,-0.01501344
2025-05-14,FGI,equity_sub,13,2172143.76698624,1909008.26314928,263135.50383696,167817.60531439,430953.10915135,0.3467508
2025-05-15,FGI,equity_sub,13,2162384.49657522,1907408.4745403,254976.02203491,167676.97067253,422652.99270744,-0.00449292
2025-05-16,FGI,equity_sub,13,2156670.20967766,1906914.76602347,249755.44365423,167633.56961315,417389.01326737,-0.00264259
2025-05-17,FGI,equity_sub,13,2156670.20967766,1906914.76602347,249755.44365423,167633.56961315,417389.01326737,0.0
2025-05-18,FGI,equity_sub,13,2156670.20967766,1906914.76602347,249755.44365423,167633.56961315,417389.01326737,0.0
2025-05-19,FGI,equity_sub,13,2160560.70639334,1904857.64149757,255703.06489574,167452.73136407,423155.79625982,0.00180394
2025-05-20,FGI,equity_sub,13,2187843.00182695,1903062.67594263,284780.3258843,167294.93905543,452075.26493974,0.01262741
2025-05-21,FGI,equity_sub,15,2507124.31626189,2207422.10030269,299702.21595916,167141.0656767,466843.28163586,0.14593429
2025-05-22,FGI,equity_sub,15,2487504.37720709,2207413.60344008,280090.77376699,167140.42231325,447231.19608026,-0.00782567
2025-05-23,FGI,equity_sub,15,2500066.11656137,2207484.15833203,292581.95822934,167145.76457192,459727.72280125,0.00504994
2025-05-24,FGI,equity_sub,15,2500066.11656137,2207484.15833203,292581.95822934,167145.76457192,459727.72280125,0.0
2025-05-25,FGI,equity_sub,15,2500066.11656137,2207484.15833203,292581.95822934,167145.76457192,459727.72280125,0.0
2025-05-26,FGI,equity_sub,15,2499133.52327002,2206807.4455215,292326.07774853,167094.52539102,459420.60313955,-0.00037303
2025-05-27,FGI,equity_sub,15,2510833.92638735,2205027.85826133,305806.06812603,166959.7790228,472765.84714883,0.00468178
2025-05-28,FGI,equity_sub,15,2504281.6488553,2204605.81458518,299675.83427012,166927.82281933,466603.65708947,-0.0026096
