Action,Portfolio,Broker & acct,Asset class,Ticker / ISIN / Reference,Security name,Currency,Trade date, Executed unit price , Executed quantity ,Transaction cost
Sell,FGI,LGT,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,15/12/2023, 16.89 ," (180,000)",6080.4
Sell,Personal,HSBC,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,15/12/2023, 17.03 ," (150,000)",0
Sell,Sinowell,HSBC,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,15/12/2023, 17.04 ," (100,000)",0
Sell,FGI,LGT,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,15/12/2023, 17.05 ," (120,000)",0
Sell,Personal,HSBC,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,15/12/2023, 17.05 ," (100,000)",0
Sell,Sinowell,HSBC,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,15/12/2023, 17.05 ," (60,000)",0
Buy,FGI,LGT,Cash,Cash - HKD,Cash - HKD,HKD,20/12/2023," 272,977.86 ", 1 ,0
Sell,FGI,LGT,Cash,Cash - USD,Cash - USD,USD,20/12/2023," (23,495.93)", 1 ,0
Sell,Personal,HSBC,Cash,Deposit USD,Deposit USD,USD,21/12/2023," (58,837.46)", 1 ,0
Sell,Personal,HSBC,Cash,Cash - USD,Cash - USD,USD,21/12/2023," (196,673.57)", 1 ,0
Sell,Personal,HSBC,Cash,Cash - USD,Cash - USD,USD,21/12/2023," (58,837.46)", 1 ,0
Sell,Sinowell,HSBC,Cash,Cash - HKD,Cash - HKD,HKD,21/12/2023," (45,300.55)", 1 ,0
Buy,Sinowell,HSBC,Cash,Cash - USD,Cash - USD,USD,21/12/2023," 4,004.96 ", 1 ,0
Buy,Sinowell,HSBC,Cash,Deposit USD,Deposit USD,USD,21/12/2023," 1,221.35 ", 1 ,0
Sell,Sinowell,HSBC,Bonds,ZQ348266@CBBT Corp,SUNAC CHINA HOLDINGS LTD,USD,21/11/2023, -   ," (200,000)",0
Buy,Sinowell,HSBC,Bonds,XS2708721233 Corp,SUNAC CHINA HOLDINGS LTD,USD,21/11/2023, -   ," 17,789 ",0
Buy,Sinowell,HSBC,Bonds,XS2708721589 Corp,SUNAC CHINA HOLDINGS LTD,USD,21/11/2023, -   ," 17,789 ",0
Buy,Sinowell,HSBC,Bonds,XS2708721829 Corp,SUNAC CHINA HOLDINGS LTD,USD,21/11/2023, -   ," 35,579 ",0
Buy,Sinowell,HSBC,Bonds,XS2708722397 Corp,SUNAC CHINA HOLDINGS LTD,USD,21/11/2023, -   ," 53,369 ",0
Buy,Sinowell,HSBC,Bonds,XS2708722637 Corp,SUNAC CHINA HOLDINGS LTD,USD,21/11/2023, -   ," 53,369 ",0
Buy,Sinowell,HSBC,Bonds,XS2708722983 Corp,SUNAC CHINA HOLDINGS LTD,USD,21/11/2023, -   ," 25,073 ",0
Buy,Sinowell,HSBC,Bonds,XS2708723791 Corp,SUNAC CHINA HOLDINGS LTD,USD,21/11/2023, -   ," 21,990 ",0
Sell,FGI,LGT,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,28/12/2023, 17.22 ," (35,000)",1205.4
Sell,Personal,HSBC,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,28/12/2023, 17.22 ," (20,000)",0
Sell,Sinowell,HSBC,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,28/12/2023, 17.22 ," (15,000)",0
Buy,FGI,LGT,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,2/1/2024, 16.90 ," 100,000 ",3380
Buy,Personal,HSBC,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,2/1/2024, 16.89 ," 60,000 ",0
Buy,Sinowell,HSBC,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,2/1/2024, 16.90 ," 60,000 ",0
Buy,FGI,LGT,Cash,Cash - USD,Cash - USD,USD,2/1/2024," 2,239,977.00 ", 1 ,0
0,0,0,0,0,0,0,, -   , -   ,0
Buy,FGI,LGT,Equities,1883 HK EQUITY,CITIC TELECOM INTERNATIONAL,HKD,8/1/2024, 3.00 ," 220,000 ",1320
Buy,Personal,HSBC,Equities,1883 HK EQUITY,CITIC TELECOM INTERNATIONAL,HKD,8/1/2024, 3.00 ," 160,000 ",0
Buy,Sinowell,HSBC,Equities,1883 HK EQUITY,CITIC TELECOM INTERNATIONAL,HKD,8/1/2024, 3.00 ," 100,000 ",0
Buy,FGI,LGT,Equities,700 HK EQUITY,TENCENT HOLDINGS LTD,HKD,8/1/2024, 286.60 ," 6,000 ",0
Buy,Personal,HSBC,Equities,700 HK EQUITY,TENCENT HOLDINGS LTD,HKD,8/1/2024, 287.00 ," 3,000 ",0
Buy,Sinowell,HSBC,Equities,700 HK EQUITY,TENCENT HOLDINGS LTD,HKD,8/1/2024, 287.00 ," 3,000 ",0
Buy,FGI,LGT,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,8/1/2024, 16.33 ," 140,000 ",0
Buy,Personal,HSBC,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,8/1/2024, 16.34 ," 60,000 ",0
Buy,Sinowell,HSBC,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,8/1/2024, 16.35 ," 50,000 ",0
Sell,FGI,LGT,Equities,1919 HK EQUITY,COSCO SHIPPING HOLDINGS CO-H,HKD,8/1/2024, 8.25 ," (110,000)",0
Sell,Personal,HSBC,Equities,1919 HK EQUITY,COSCO SHIPPING HOLDINGS CO-H,HKD,8/1/2024, 8.25 ," (220,000)",0
Sell,Sinowell,HSBC,Equities,1919 HK EQUITY,COSCO SHIPPING HOLDINGS CO-H,HKD,8/1/2024, 8.25 ," (150,000)",0
Buy,FGI,LGT,Cash,Cash - USD,Cash - USD,USD,4/1/2024," 250,000.00 ", 1 ,0
Buy,FGI,LGT,Cash,Cash - USD,Cash - USD,USD,9/1/2024," 190,000.00 ", 1 ,0
Sell,Sinowell,HSBC,Cash,Cash - HKD,Cash - HKD,HKD,9/1/2024," (2,500,000.00)", 1 ,0
Sell,Sinowell,HSBC,Fixed Deposits,Deposit USD,Deposit USD,USD,9/1/2024," (168,259.16)", 1 ,0
Sell,Sinowell,HSBC,Cash,Cash - USD,Cash - USD,USD,9/1/2024," (31,740.84)", 1 ,0
Sell,Sinowell,HSBC,Cash,Deposit USD,Deposit USD,USD,21/12/2023," (51,561.00)", 1 ,0
Buy,Sinowell,HSBC,Cash,Cash - HKD,Cash - HKD,HKD,9/1/2024," 402,930.18 ", 1 ,0
Buy,FGI,LGT,Equities,5 HK EQUITY,HSBC HOLDINGS PLC,HKD,16/1/2024, 59.30 ," 33,200 ",0
Buy,FGI,LGT,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,16/1/2024, 16.02 ," 100,000 ",0
Buy,Personal,HSBC,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,16/1/2024, 16.01 ," 50,000 ",0
Buy,Sinowell,HSBC,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,16/1/2024, 16.01 ," 30,000 ",0
Sell,FGI,LGT,Cash,Cash - USD,Cash - USD,USD,16/1/2024," (320,284.00)", 1 ,0
Buy,FGI,LGT,Cash,Cash - HKD,Cash - HKD,HKD,16/1/2024," 2,363,859.39 ", 1 ,0
Buy,Sinowell,LGT,Cash,Cash - HKD,Cash - HKD,HKD,16/1/2024," 480,300.00 ", 1 ,0
Sell,Sinowell,HSBC,Fixed Deposits,Deposit USD,Deposit USD,USD,16/1/2024," (61,419.44)", 1 ,0
Sell,Personal,LGT,Equities,NOBLE-W2 TB EQUITY,NOBLE-W2 TB EQUITY,THB,16/1/2024, -   ," (28,656,203)",0
Buy,FGI,LGT,Equities,1299 HK EQUITY,AIA GROUP LTD,HKD,17/1/2024, 59.97 ," 20,000 ",0
Buy,FGI,LGT,Equities,1109 HK EQUITY,CHINA RESOURCES LAND LTD,HKD,17/1/2024, 23.05 ," 30,000 ",0
Buy,Personal,HSBC,Equities,1109 HK EQUITY,CHINA RESOURCES LAND LTD,HKD,17/1/2024, 23.10 ," 20,000 ",0
Buy,FGI,LGT,Equities,9961 HK EQUITY,TRIP.COM GROUP LTD,HKD,17/1/2024, 279.60 ," 2,500 ",0
Buy,FGI,LGT,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,17/1/2024, 15.50 ," 50,000 ",0
Buy,Personal,HSBC,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,17/1/2024, 15.40 ," 30,000 ",0
Sell,FGI,LGT,Cash,Cash - USD,Cash - USD,USD,17/1/2024," (430,135.00)", 1 ,0
Buy,FGI,LGT,Cash,Cash - HKD,Cash - HKD,HKD,17/1/2024," 3,364,900.00 ", 1 ,0
Buy,FGI,LGT,Cash,Cash - USD,Cash - USD,USD,19/1/2024," 39,277.20 ", 1 ,0
Buy,Personal,HSBC,Cash,Deposit USD,Deposit USD,USD,19/1/2024," 8,371.95 ", 1 ,0
Sell,Personal,HSBC,Cash,Cash - HKD,Cash - HKD,HKD,19/1/2024," (299,225.00)", 1 ,0
Sell,Sinowell,HSBC,Cash,Deposit USD,Deposit USD,USD,19/1/2024," (19,674.75)", 1 ,0
Buy,Sinowell,HSBC,Cash,Deposit CNY,Deposit CNY,CNY,19/1/2024," 30,702.00 ", 1 ,0
Buy,Sinowell,HSBC,Cash,Cash - CNY,Cash - CNY,CNY,19/1/2024," 49,328.00 ", 1 ,0
Buy,Sinowell,HSBC,Cash,Cash - HKD,Cash - HKD,HKD,19/1/2024," 235,792.51 ", 1 ,0
Buy,Sinowell,HSBC,Cash,Cash - USD,Cash - USD,USD,19/1/2024," 1,983.93 ", 1 ,0
Sell,FGI,LGT,Equities,1883 HK EQUITY,CITIC TELECOM INTERNATIONAL,HKD,24/1/2024, 2.85 ," (200,000)",0
Sell,Personal,HSBC,Equities,1883 HK EQUITY,CITIC TELECOM INTERNATIONAL,HKD,24/1/2024, 2.86 ," (150,000)",0
Sell,Sinowell,LGT,Equities,1883 HK EQUITY,CITIC TELECOM INTERNATIONAL,HKD,24/1/2024, 2.85 ," (150,000)",0
Buy,FGI,LGT,Equities,7500 HK EQUITY,CSOP HANG SENG  INDEX  DAI-H,HKD,25/1/2024, 6.79 ," 100,000 ",0
Buy,Personal,HSBC,Equities,7500 HK EQUITY,CSOP HANG SENG  INDEX  DAI-H,HKD,25/1/2024, 6.83 ," 60,000 ",0
Buy,Sinowell,HSBC,Equities,7500 HK EQUITY,CSOP HANG SENG  INDEX  DAI-H,HKD,25/1/2024, 6.84 ," 60,000 ",0
Sell,FGI,LGT,Equities,1299 HK EQUITY,AIA GROUP LTD,HKD,25/1/2024, 65.40 ," (10,000)",0
Sell,Personal,HSBC,Equities,1299 HK EQUITY,AIA GROUP LTD,HKD,25/1/2024, 64.65 ," (15,000)",0
Sell,Sinowell,HSBC,Equities,1299 HK EQUITY,AIA GROUP LTD,HKD,25/1/2024, 64.65 ," (15,000)",0
Sell,FGI,LGT,Equities,1109 HK EQUITY,CHINA RESOURCES LAND LTD,HKD,25/1/2024, 24.40 ," (30,000)",0
Sell,Personal,HSBC,Equities,1109 HK EQUITY,CHINA RESOURCES LAND LTD,HKD,25/1/2024, 24.20 ," (30,000)",0
Sell,Sinowell,HSBC,Equities,1109 HK EQUITY,CHINA RESOURCES LAND LTD,HKD,25/1/2024, 24.15 ," (30,000)",0
Sell,FGI,LGT,Equities,1883 HK EQUITY,CITIC TELECOM INTERNATIONAL,HKD,25/1/2024, 2.91 ," (150,000)",0
Sell,Personal,HSBC,Equities,1883 HK EQUITY,CITIC TELECOM INTERNATIONAL,HKD,25/1/2024, 2.91 ," (100,000)",0
Sell,Sinowell,LGT,Equities,1883 HK EQUITY,CITIC TELECOM INTERNATIONAL,HKD,25/1/2024, 2.91 ," (100,000)",0
Sell,FGI,LGT,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,29/1/2024, 16.22 ," (100,000)",0
Sell,Personal,HSBC,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,29/1/2024, 16.25 ," (60,000)",0
Sell,FGI,LGT,Equities,857 HK EQUITY,PETROCHINA CO LTD-H,HKD,29/1/2024, 5.87 ," (100,000)",0
Sell,Personal,HSBC,Equities,857 HK EQUITY,PETROCHINA CO LTD-H,HKD,29/1/2024, 5.80 ," (200,000)",0
Sell,Sinowell,HSBC,Equities,857 HK EQUITY,PETROCHINA CO LTD-H,HKD,29/1/2024, 5.80 ," (150,000)",0
Sell,FGI,LGT,Equities,883 HK EQUITY,CNOOC LTD-H,HKD,29/1/2024, 14.70 ," (60,000)",0
Sell,Personal,HSBC,Equities,883 HK EQUITY,CNOOC LTD-H,HKD,29/1/2024, 14.64 ," (60,000)",0
Sell,Sinowell,HSBC,Equities,883 HK EQUITY,CNOOC LTD-H,HKD,29/1/2024, 14.66 ," (60,000)",0
Sell,FGI,LGT,Equities,1299 HK EQUITY,AIA GROUP LTD,HKD,29/1/2024, 65.20 ," (10,000)",0
Sell,Personal,HSBC,Equities,1299 HK EQUITY,AIA GROUP LTD,HKD,29/1/2024, 65.20 ," (10,000)",0
Sell,Personal,HSBC,Equities,700 HK EQUITY,TENCENT HOLDINGS LTD,HKD,29/1/2024, 282.00 ," (3,000)",0
Sell,Sinowell,HSBC,Equities,700 HK EQUITY,TENCENT HOLDINGS LTD,HKD,29/1/2024, 282.00 ," (3,000)",0
Sell,FGI,LGT,Equities,27 HK EQUITY,GALAXY ENTERTAINMENT GROUP L,HKD,2/2/2024, 43.50 ," (20,000)",0
Sell,Personal,HSBC,Equities,27 HK EQUITY,GALAXY ENTERTAINMENT GROUP L,HKD,2/2/2024, 43.60 ," (15,000)",0
Sell,Sinowell,HSBC,Equities,27 HK EQUITY,GALAXY ENTERTAINMENT GROUP L,HKD,2/2/2024, 43.50 ," (15,000)",0
Sell,FGI,LGT,Equities,1883 HK EQUITY,CITIC TELECOM INTERNATIONAL,HKD,2/2/2024, 2.87 ," (220,000)",0
Sell,Personal,HSBC,Equities,1883 HK EQUITY,CITIC TELECOM INTERNATIONAL,HKD,2/2/2024, 2.88 ," (260,000)",0
Sell,Sinowell,HSBC,Equities,1883 HK EQUITY,CITIC TELECOM INTERNATIONAL,HKD,2/2/2024, 2.88 ," (200,000)",0
Buy,FGI,LGT,Cash,Cash - USD,Cash - USD,USD,15/2/2024," 28,192.00 ", 1 ,0
Buy,Personal,HSBC,Cash,Cash - USD,Cash - USD,USD,14/2/2024," 1,315,617.00 ", 1 ,0
Sell,FGI,LGT,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,6/2/2024, 16.27 ," (255,000)",0
Sell,Personal,HSBC,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,6/2/2024, 16.28 ," (120,000)",0
Sell,Sinowell,HSBC,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,6/2/2024, 16.28 ," (100,000)",0
Buy,FGI,LGT,Equities,7500 HK EQUITY,CSOP HANG SENG  INDEX  DAI-H,HKD,7/2/2024, 6.84 ," 100,000 ",0
Buy,Personal,HSBC,Equities,7500 HK EQUITY,CSOP HANG SENG  INDEX  DAI-H,HKD,7/2/2024, 6.88 ," 60,000 ",0
Buy,Sinowell,HSBC,Equities,7500 HK EQUITY,CSOP HANG SENG  INDEX  DAI-H,HKD,7/2/2024, 6.87 ," 60,000 ",0
Sell,FGI,LGT,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,7/2/2024, 16.53 ," (100,000)",0
Sell,Personal,HSBC,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,7/2/2024, 16.50 ," (60,000)",0
Sell,Sinowell,HSBC,Equities,2800 HK EQUITY,TRACKER FUND OF HONG KONG-B,HKD,7/2/2024, 16.49 ," (65,000)",0
